Date,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^AXJO,^AORD,^BSESN,^JKSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^IPSA,^MERV,^TA125.TA,^JN0U.JO
2002-01-02,1154.6700439453125,10073.400390625,1979.25,6244.2099609375,843.75,,487.19000244140625,22.709999084472656,5167.8798828125,4580.43994140625,,789.780029296875,2728.550048828125,,,11350.849609375,1645.969970703125,3325.62255859375,3419.60009765625,3358.5,3269.159912109375,383.4466247558594,,724.9500122070312,5600.02880859375,7646.7998046875,13872.0,6410.0498046875,1185.75,323.69000244140625,464.25,
2002-01-03,1165.27001953125,10172.1396484375,2044.27001953125,6266.31005859375,842.25,,495.510009765625,21.34000015258789,5270.2900390625,4681.2001953125,,803.77001953125,2737.110107421875,,,11423.51953125,1645.969970703125,3325.62255859375,3435.699951171875,3374.300048828125,3308.02001953125,381.50067138671875,,727.6599731445312,5526.29931640625,7774.2001953125,14265.0,6603.75,1195.9300537109375,340.6000061035156,466.29998779296875,
2002-01-04,1172.510009765625,10259.740234375,2059.3798828125,6307.97021484375,841.4400024414062,,499.29998779296875,20.450000762939453,5318.72998046875,4682.7900390625,,803.0999755859375,2708.830078125,,10871.490234375,11702.150390625,1611.3929443359375,3265.84326171875,,,3375.739990234375,385.1895446777344,,747.719970703125,5638.5087890625,7833.2001953125,14332.0,6612.080078125,1203.3800048828125,343.2200012207031,,
2002-01-07,1164.8900146484375,10197.0498046875,2037.0999755859375,6271.81005859375,837.3300170898438,,493.17999267578125,21.940000534057617,5232.22021484375,4615.5400390625,,794.780029296875,2692.47998046875,,10942.3603515625,11892.6396484375,1596.760009765625,3231.763916015625,3423.0,3364.199951171875,3401.800048828125,388.7124328613281,,751.47998046875,5834.8681640625,7870.2998046875,14379.0,6565.43994140625,1188.949951171875,,468.9200134277344,
2002-01-08,1160.7099609375,10150.5498046875,2055.739990234375,6235.43017578125,836.2000122070312,,497.8999938964844,21.829999923706055,5236.3701171875,4568.08984375,,787.4199829101562,2680.260009765625,,10695.599609375,11713.7099609375,1583.4610595703125,3201.5341796875,3412.5,3354.89990234375,3437.780029296875,387.6824951171875,,734.760009765625,5810.05859375,7782.0,14168.0,6641.14013671875,1168.010009765625,,460.7799987792969,
2002-01-09,1155.1400146484375,10094.08984375,2044.8900146484375,6207.41015625,841.1599731445312,,494.739990234375,22.1299991607666,5288.2099609375,4587.009765625,,791.75,2678.139892578125,,10663.98046875,11440.7197265625,1561.3489990234375,3149.2646484375,3409.10009765625,3351.800048828125,3400.889892578125,391.4863586425781,,751.6099853515625,5865.51806640625,7775.7998046875,14021.0,6560.580078125,1148.1300048828125,,454.8599853515625,
2002-01-10,1156.550048828125,10067.8603515625,2047.239990234375,6210.89990234375,836.8300170898438,,495.30999755859375,22.360000610351562,5228.10986328125,4515.52001953125,,780.4600219726562,2668.260009765625,,10538.4296875,11256.0703125,1576.43701171875,3159.41455078125,3417.60009765625,3360.10009765625,3381.9599609375,402.05706787109375,,728.22998046875,5871.2578125,7722.39990234375,13570.0,6453.009765625,1152.0400390625,,448.55999755859375,
2002-01-11,1145.5999755859375,9987.5302734375,2022.4599609375,6161.0,834.0700073242188,,489.94000244140625,22.600000381469727,5209.97021484375,4554.68994140625,,786.780029296875,2661.590087890625,,10441.58984375,11166.4599609375,1535.593017578125,3065.955810546875,,,3362.8798828125,411.7627868652344,,727.3599853515625,5687.56884765625,7701.89990234375,13587.0,6420.14990234375,1154.1600341796875,,,
2002-01-14,1138.4100341796875,9891.419921875,1990.739990234375,6122.60986328125,829.7899780273438,,483.010009765625,23.579999923706055,5065.83984375,4453.97021484375,,770.2999877929688,2622.360107421875,,,11209.4296875,1485.1080322265625,2934.357177734375,3406.199951171875,3348.699951171875,3407.840087890625,415.8246765136719,,744.030029296875,5611.8388671875,7623.2998046875,13122.0,6388.27001953125,1140.3199462890625,,452.8800048828125,
2002-01-15,1146.18994140625,9924.150390625,2000.9100341796875,6160.56982421875,835.52001953125,,485.0,22.700000762939453,5062.0400390625,4518.419921875,,781.4000244140625,2658.77001953125,,10208.0498046875,11013.58984375,1459.6529541015625,2892.987548828125,3425.800048828125,3367.199951171875,3352.52001953125,421.24151611328125,,718.6400146484375,5592.71923828125,7643.89990234375,13011.0,6573.18994140625,1140.800048828125,,448.05999755859375,
